example_path,param_id,midi_note,f0,split
examples/0000000_021.pt,0,21,27.5,train
examples/0000000_028.pt,0,28,41.20344461410875,train
examples/0000000_035.pt,0,35,61.7354126570155,train
examples/0000000_042.pt,0,42,92.4986056779086,train
examples/0000000_049.pt,0,49,138.59131548843604,train
examples/0000000_056.pt,0,56,207.65234878997256,train
examples/0000000_063.pt,0,63,311.1269837220809,train
examples/0000000_070.pt,0,70,466.1637615180899,train
examples/0000000_077.pt,0,77,698.4564628660078,train
examples/0000000_084.pt,0,84,1046.5022612023945,train
examples/0000000_091.pt,0,91,1567.981743926997,train
examples/0000000_098.pt,0,98,2349.31814333926,train
examples/0000001_021.pt,1,21,27.5,test
examples/0000001_028.pt,1,28,41.20344461410875,test
examples/0000001_035.pt,1,35,61.7354126570155,test
examples/0000001_042.pt,1,42,92.4986056779086,test
examples/0000001_049.pt,1,49,138.59131548843604,test
examples/0000001_056.pt,1,56,207.65234878997256,test
examples/0000001_063.pt,1,63,311.1269837220809,test
examples/0000001_070.pt,1,70,466.1637615180899,test
examples/0000001_077.pt,1,77,698.4564628660078,test
examples/0000001_084.pt,1,84,1046.5022612023945,test
examples/0000001_091.pt,1,91,1567.981743926997,test
examples/0000001_098.pt,1,98,2349.31814333926,test
examples/0000002_021.pt,2,21,27.5,train
examples/0000002_028.pt,2,28,41.20344461410875,train
examples/0000002_035.pt,2,35,61.7354126570155,train
examples/0000002_042.pt,2,42,92.4986056779086,train
examples/0000002_049.pt,2,49,138.59131548843604,train
examples/0000002_056.pt,2,56,207.65234878997256,train
examples/0000002_063.pt,2,63,311.1269837220809,train
examples/0000002_070.pt,2,70,466.1637615180899,train
examples/0000002_077.pt,2,77,698.4564628660078,train
examples/0000002_084.pt,2,84,1046.5022612023945,train
examples/0000002_091.pt,2,91,1567.981743926997,train
examples/0000002_098.pt,2,98,2349.31814333926,train
examples/0000003_021.pt,3,21,27.5,test
examples/0000003_028.pt,3,28,41.20344461410875,test
examples/0000003_035.pt,3,35,61.7354126570155,test
examples/0000003_042.pt,3,42,92.4986056779086,test
examples/0000003_049.pt,3,49,138.59131548843604,test
examples/0000003_056.pt,3,56,207.65234878997256,test
examples/0000003_063.pt,3,63,311.1269837220809,test
examples/0000003_070.pt,3,70,466.1637615180899,test
examples/0000003_077.pt,3,77,698.4564628660078,test
examples/0000003_084.pt,3,84,1046.5022612023945,test
examples/0000003_091.pt,3,91,1567.981743926997,test
examples/0000003_098.pt,3,98,2349.31814333926,test
examples/0000004_021.pt,4,21,27.5,test
examples/0000004_028.pt,4,28,41.20344461410875,test
examples/0000004_035.pt,4,35,61.7354126570155,test
examples/0000004_042.pt,4,42,92.4986056779086,test
examples/0000004_049.pt,4,49,138.59131548843604,test
examples/0000004_056.pt,4,56,207.65234878997256,test
examples/0000004_063.pt,4,63,311.1269837220809,test
examples/0000004_070.pt,4,70,466.1637615180899,test
examples/0000004_077.pt,4,77,698.4564628660078,test
examples/0000004_084.pt,4,84,1046.5022612023945,test
examples/0000004_091.pt,4,91,1567.981743926997,test
examples/0000004_098.pt,4,98,2349.31814333926,test
examples/0000005_021.pt,5,21,27.5,train
examples/0000005_028.pt,5,28,41.20344461410875,train
examples/0000005_035.pt,5,35,61.7354126570155,train
examples/0000005_042.pt,5,42,92.4986056779086,train
examples/0000005_049.pt,5,49,138.59131548843604,train
examples/0000005_056.pt,5,56,207.65234878997256,train
examples/0000005_063.pt,5,63,311.1269837220809,train
examples/0000005_070.pt,5,70,466.1637615180899,train
examples/0000005_077.pt,5,77,698.4564628660078,train
examples/0000005_084.pt,5,84,1046.5022612023945,train
examples/0000005_091.pt,5,91,1567.981743926997,train
examples/0000005_098.pt,5,98,2349.31814333926,train
examples/0000006_021.pt,6,21,27.5,train
